index,urlkey,timestamp,url,mime,mime-detected,status,digest,length,offset,filename,languages,encoding,redirect,truncated,index_name,success_status,html
25,"nl,slotzuylen)/agenda/knutsel-je-eigen-lampion/2024-11-09",20241003200408,http://slotzuylen.nl/agenda/knutsel-je-eigen-lampion/2024-11-09/,text/html,text/html,301,LGGT76I5HYSS6HQT36GPANELE4H7FWR7,611,1190316,crawl-data/CC-MAIN-2024-42/segments/1727944253216.9/crawldiagnostics/CC-MAIN-20241003185904-20241003215904-00475.warc.gz,,,https://slotzuylen.nl/agenda/knutsel-je-eigen-lampion/2024-11-09/,,CC-MAIN-2024-42,not processed,
26,"nl,slotzuylen)/agenda/knutsel-je-eigen-lampion/2024-11-09",20241003200409,https://slotzuylen.nl/agenda/knutsel-je-eigen-lampion/2024-11-09/,text/html,text/html,200,G7Z5AHYDKISSUOSNJ2M2HTMLSUKE5J6X,23437,484634907,crawl-data/CC-MAIN-2024-42/segments/1727944253216.9/warc/CC-MAIN-20241003185904-20241003215904-00116.warc.gz,"nld,nno",UTF-8,,,CC-MAIN-2024-42,not processed,
27,"nl,slotzuylen)/agenda/kobra-ensemble-kerstconcert",20241003205711,https://slotzuylen.nl/agenda/kobra-ensemble-kerstconcert/,text/html,text/html,200,WJ36DZ4PKNQMFI7GQ4LFMGVO2YOHWLTG,23589,489044864,crawl-data/CC-MAIN-2024-42/segments/1727944253216.9/warc/CC-MAIN-20241003185904-20241003215904-00689.warc.gz,nld,UTF-8,,,CC-MAIN-2024-42,not processed,
29,"nl,slotzuylen)/agenda/muizenuitje/2023-10-19",20241003200540,https://slotzuylen.nl/agenda/muizenuitje/2023-10-19/,text/html,text/html,200,P33JZUBQY6IT5GS56BB4HLCW4RARQVDU,23646,495144618,crawl-data/CC-MAIN-2024-42/segments/1727944253216.9/warc/CC-MAIN-20241003185904-20241003215904-00150.warc.gz,nld,UTF-8,,,CC-MAIN-2024-42,not processed,
15,"nl,slotzuylen)/agenda/concert-duo-la-serena",20241003193013,https://slotzuylen.nl/agenda/concert-duo-la-serena/,text/html,text/html,200,FM4363QQFRUWETSCZRVMRBOX4F54CDCS,23912,493967325,crawl-data/CC-MAIN-2024-42/segments/1727944253216.9/warc/CC-MAIN-20241003185904-20241003215904-00512.warc.gz,"nld,eng",UTF-8,,,CC-MAIN-2024-42,not processed,
16,"nl,slotzuylen)/agenda/draden-van-ons-nederlandse-slavernijverleden/2024-09-16",20241003200113,http://slotzuylen.nl/agenda/draden-van-ons-nederlandse-slavernijverleden/2024-09-16/,text/html,text/html,301,LGGT76I5HYSS6HQT36GPANELE4H7FWR7,626,943161,crawl-data/CC-MAIN-2024-42/segments/1727944253216.9/crawldiagnostics/CC-MAIN-20241003185904-20241003215904-00447.warc.gz,,,https://slotzuylen.nl/agenda/draden-van-ons-nederlandse-slavernijverleden/2024-09-16/,,CC-MAIN-2024-42,not processed,
3,"nl,slotzuylen)/agenda/2015/herfstdag",20241010164810,https://www.slotzuylen.nl/agenda/2015/herfstdag/,text/html,text/html,301,3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ,627,29573492,crawl-data/CC-MAIN-2024-42/segments/1727944253693.30/crawldiagnostics/CC-MAIN-20241010155548-20241010185548-00736.warc.gz,,,https://slotzuylen.nl/agenda/2015/herfstdag/,,CC-MAIN-2024-42,not processed,
14,"nl,slotzuylen)/agenda/concert-duo-la-serena",20241003193011,http://slotzuylen.nl/agenda/concert-duo-la-serena/,text/html,text/html,301,LGGT76I5HYSS6HQT36GPANELE4H7FWR7,603,1135990,crawl-data/CC-MAIN-2024-42/segments/1727944253216.9/crawldiagnostics/CC-MAIN-20241003185904-20241003215904-00679.warc.gz,,,https://slotzuylen.nl/agenda/concert-duo-la-serena/,,CC-MAIN-2024-42,not processed,
13,"nl,slotzuylen)/agenda/christmas-high-tea/2022-12-11",20241003190310,https://slotzuylen.nl/agenda/christmas-high-tea/2022-12-11/,text/html,text/html,200,BFBZVGOTCL6L7SXJSWQ6IYSGHE3YUCGF,24077,477191575,crawl-data/CC-MAIN-2024-42/segments/1727944253216.9/warc/CC-MAIN-20241003185904-20241003215904-00194.warc.gz,nld,UTF-8,,,CC-MAIN-2024-42,not processed,
12,"nl,slotzuylen)/agenda/bij-de-baron-aan-tafel/2024-11-30",20241003191233,https://slotzuylen.nl/agenda/bij-de-baron-aan-tafel/2024-11-30/,text/html,text/html,200,CZNGQIZ6CWJWXYVYW3KGBOSMOU6GA6DZ,25116,489386284,crawl-data/CC-MAIN-2024-42/segments/1727944253216.9/warc/CC-MAIN-20241003185904-20241003215904-00762.warc.gz,nld,UTF-8,,,CC-MAIN-2024-42,not processed,
